Nome do Cliente;Numero Documento;Telefone;Email;Nome do Imovel;Numero Imovel;Tipo Imovel;Descricao Imovel;Valor;Situacao;Imovel de Interesse;Valor da Oferta
Kaue Yorinori;00444352902;43999636878;kaueys@outlook.com;Infinity;APINFINITY101;Apartamento;3 quartos;2200000,00;Ativo;Le Blanc;0,00
Alex;90999888884;4355665566;alex@gmail.com;Le Blanc;APLEBLANC1101;Apartamento;4 quartos;2100000,00;Ativo;Legend;0,00
Keller Souza;00455566783;43999305034;k@gmail.com;Fernando Pessoa;APFERNANDOPESSOA504;Apartamento;3 quartos;900000,00;Ativo;Infinity|Casa Batlo;0,00
Luca;80009990009;43988053478;LG@Gmail.com;Infinity;APINFINITY102;Apartamento;4 quartos;2100000,00;Ativo;Wave;0,00
Jose da Silva;9009989898;43909988888;JS@gmail;Wave;APWAVE1201;Apartamento;5;3600000,00;Ativo;Le Blanc;0,00
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
